Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
2023-03-17,Platypus Shoes ,177,0,1754,Expense,Personal,Clothing & Accessories,DR
2023-03-17,Endota Spa ,155,0,1599,Expense,Personal,Fitness & Wellbeing,DR
2023-03-18,Fitness First ,52,0,1547,Expense,Personal,Fitness & Wellbeing,DR
2023-03-19,Gold's Gym ,65,0,1482,Expense,Personal,Fitness & Wellbeing,DR
2023-03-19,King Swim ,36,0,1446,Expense,Personal,Fitness & Wellbeing,DR
2023-03-20,eBay Sales Proceeds ,91,0,1355,Income,Income,Other Income,DR
2023-03-21,Quay Restaurant ,76,0,1279,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-03-21,Medicare Claim ,22,0,1257,Expense,Personal,Health & Medical,DR
2023-03-22,Service NSW ,64,0,1193,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-03-22, Slater and Gordon Lawyers ,85,0,1108,Expense,Personal,Life Admin,DR
2023-03-23,eBay Sales Proceeds ,86,0,1022,Income,Income,Other Income,DR
2023-03-23,Apple Music ,62,0,960,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-03-24,The Ivy ,28,0,932,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-03-25,Sea Life Aquarium ,88,0,844,Expense,Leisure & Lifestyle,Entertainment,DR
2023-03-27,King Swim ,48,0,796,Expense,Personal,Fitness & Wellbeing,DR
2023-03-27,Quay Restaurant ,47,0,749,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-03-28,Lorna Jane ,58,0,691,Expense,Personal,Clothing & Accessories,DR
2023-03-28,The Sydney Morning Herald ,62,0,629,Expense,Personal,Education,DR
2023-04-01,Monthly Income,0,6542,7171,Income,Income,Wages,CR
2023-04-02,Platypus Shoes ,638,0,6533,Expense,Personal,Clothing & Accessories,DR
2023-04-03,Priceline Pharmacy ,408,0,6125,Expense,Personal,Health & Medical,DR
2023-04-04,Ultra Tune ,480,0,5645,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-04-05,Car Wash Cafe ,8,0,5637,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-04-05,Coles ,36,0,5601,Expense,Household,Groceries,DR
2023-04-05,Anytime Fitness ,156,0,5445,Expense,Personal,Fitness & Wellbeing,DR
2023-04-05,MyCar Tyre & Auto ,354,0,5091,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-04-05,Village Cinemas ,326,0,4765,Expense,Leisure & Lifestyle,Entertainment,DR
2023-04-06,Sylvan Learning ,431,0,4334,Expense,Personal,Education,DR
2023-04-06,Menulog ,129,0,4205,Expense,Leisure & Lifestyle,Takeaway,DR
2023-04-08,Centrelink JobSeeker Payment ,163,0,4042,Income,Income,Other Income,DR
2023-04-09,NRMA Roadside Assistance ,21,0,4021,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-04-10,AGL Energy ,270,0,3751,Expense,Household,Utilities,DR
2023-04-10,Booktopia ,193,0,3558,Expense,Leisure & Lifestyle,Hobbies,DR
2023-04-11,Origin Energy ,32,0,3526,Expense,Household,Utilities,DR
2023-04-11,The Baxter Inn ,244,0,3282,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-04-11,Dental Clinic ,231,0,3051,Expense,Personal,Health & Medical,DR
2023-04-12,Hungry Jack’s ,144,0,2907,Expense,Leisure & Lifestyle,Takeaway,DR
2023-04-12,Green Slip Insurance ,177,0,2730,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-04-14,Decathlon ,192,0,2538,Expense,Personal,Fitness & Wellbeing,DR
2023-04-14,Music Academy ,177,0,2361,Expense,Leisure & Lifestyle,Hobbies,DR
2023-04-14,Witchery ,83,0,2278,Expense,Personal,Clothing & Accessories,DR
2023-04-14,Acupuncture Clinic ,207,0,2071,Expense,Personal,Health & Medical,DR
2023-04-14,The Sydney Morning Herald ,140,0,1931,Expense,Personal,Education,DR
2023-04-15,King Swim ,7,0,1924,Expense,Personal,Fitness & Wellbeing,DR
2023-04-16,Tennis Australia ,132,0,1792,Expense,Personal,Fitness & Wellbeing,DR
2023-04-18,Scouts Australia ,94,0,1698,Expense,Leisure & Lifestyle,Hobbies,DR
2023-04-18,Le Creuset ,59,0,1639,Expense,Household,"Furniture, Electronics & Homewares",DR
2023-04-19,Who Gives A Crap ,31,0,1608,Expense,Household,Groceries,DR
2023-04-19,Endota Spa ,138,0,1470,Expense,Personal,Fitness & Wellbeing,DR
2023-04-20,Billabong ,93,0,1377,Expense,Personal,Clothing & Accessories,DR
2023-04-20,Surf Dive 'n Ski ,52,0,1325,Expense,Personal,Clothing & Accessories,DR
2023-04-21,eBay Sales Proceeds ,35,0,1290,Income,Income,Other Income,DR
2023-04-21,Stan ,123,0,1167,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-04-22,The Good Guys ,9,0,1158,Expense,Household,"Furniture, Electronics & Homewares",DR
2023-04-24,Sylvan Learning ,51,0,1107,Expense,Personal,Education,DR
2023-04-25,Anytime Fitness ,60,0,1047,Expense,Personal,Fitness & Wellbeing,DR
2023-04-25,Flight Centre ,62,0,985,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2023-04-25,Shell V Power,56,0,929,Expense,Transport,Fuel,DR
2023-04-25,AMF Bowling ,69,0,860,Expense,Leisure & Lifestyle,Entertainment,DR
2023-04-27,PayPal Transfer from Sale ,47,0,813,Income,Income,Other Income,DR
2023-04-27,Acupuncture Clinic ,12,0,801,Expense,Personal,Health & Medical,DR
2023-04-27,Rip Curl ,13,0,788,Expense,Personal,Clothing & Accessories,DR
2023-04-28,Sydney Water ,53,0,735,Expense,Household,Utilities,DR
2023-04-28,The Good Guys ,32,0,703,Expense,Household,"Furniture, Electronics & Homewares",DR
2023-04-28,Coles ,29,0,674,Expense,Household,Groceries,DR
2023-05-01,Monthly Income,0,6542,7216,Income,Income,Wages,CR
2023-05-02,Platypus Shoes ,691,0,6525,Expense,Personal,Clothing & Accessories,DR
2023-05-03,Vodafone Prepaid ,149,0,6376,Expense,Personal,Mobile Phone,DR
2023-05-03,Culture Kings ,187,0,6189,Expense,Personal,Clothing & Accessories,DR
2023-05-03,Queensland Urban Utilities ,603,0,5586,Expense,Household,Utilities,DR
2023-05-03,Ballet Schools ,454,0,5132,Expense,Personal,Fitness & Wellbeing,DR
2023-05-03,Amazon Prime ,195,0,4937,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-05-03, Ray White Real Estate ,191,0,4746,Expense,Personal,Life Admin,DR
2023-05-04,Apple Store ,330,0,4416,Expense,Leisure & Lifestyle,Electronics,DR
2023-05-04,Eat Street Northshore ,416,0,4000,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-05-06,Caltex Woolworths ,67,0,3933,Expense,Transport,Fuel,DR
2023-05-06,AGL Energy ,389,0,3544,Expense,Household,Utilities,DR
2023-05-07,TerryWhite Chemmart ,336,0,3208,Expense,Personal,Health & Medical,DR
2023-05-07,Caltex Woolworths ,75,0,3133,Expense,Transport,Fuel,DR
2023-05-09,MyCar Tyre & Auto ,62,0,3071,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-05-09,Grill'd ,22,0,3049,Expense,Leisure & Lifestyle,Takeaway,DR
2023-05-10,National Hearing Care ,75,0,2974,Expense,Personal,Health & Medical,DR
2023-05-10,Surfstitch ,188,0,2786,Expense,Personal,Clothing & Accessories,DR
2023-05-11,Soccer Clubs ,223,0,2563,Expense,Personal,Fitness & Wellbeing,DR
2023-05-11,BrewDog ,114,0,2449,Expense,Leisure & Lifestyle,Alcohol,DR
2023-05-11,Anytime Fitness ,96,0,2353,Expense,Personal,Fitness & Wellbeing,DR
2023-05-12,Lorna Jane ,23,0,2330,Expense,Personal,Clothing & Accessories,DR
2023-05-13,NRMA Roadside Assistance ,123,0,2207,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-05-14, Rentokil ,49,0,2158,Expense,Household,Maintenance & Improvements,DR
2023-05-15,Eau De Vie ,58,0,2100,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-05-16,Tennis Australia ,188,0,1912,Expense,Personal,Fitness & Wellbeing,DR
2023-05-17,MyCar Tyre & Auto ,111,0,1801,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-05-17,Café Nero ,62,0,1739,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2023-05-18,Beach Café ,59,0,1680,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2023-05-19,Soccer Clubs ,98,0,1582,Expense,Personal,Fitness & Wellbeing,DR
2023-05-19,Spotlight ,150,0,1432,Expense,Leisure & Lifestyle,Hobbies,DR
2023-05-19, Commonwealth Bank ,90,0,1342,Expense,Household,Rent & Mortgage,DR
2023-05-19,Camp Australia ,110,0,1232,Expense,Leisure & Lifestyle,Hobbies,DR
2023-05-20,Camp Australia ,69,0,1163,Expense,Leisure & Lifestyle,Hobbies,DR
2023-05-20,The Iconic ,49,0,1114,Expense,Personal,Clothing & Accessories,DR
2023-05-21, Jim’s Building Inspections ,33,0,1081,Expense,Household,Maintenance & Improvements,DR
2023-05-21, Jim’s Building Inspections ,76,0,1005,Expense,Household,Maintenance & Improvements,DR
2023-05-22, Slater and Gordon Lawyers ,83,0,922,Expense,Personal,Life Admin,DR
2023-05-23,MyCar Tyre & Auto ,70,0,852,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-05-23,TerryWhite Chemmart ,19,0,833,Expense,Personal,Health & Medical,DR
2023-05-24,Priceline Pharmacy ,80,0,753,Expense,Personal,Health & Medical,DR
2023-05-25,Target ,26,0,727,Expense,Personal,Clothing & Accessories,DR
2023-05-26,Dan Murphy’s ,13,0,714,Expense,Leisure & Lifestyle,Alcohol,DR
2023-05-26,G8 Education ,21,0,693,Expense,Personal,Children & Family,DR
2023-05-27,Payday Advance ,19,0,674,Income,Income,Other Income,DR
2023-05-27,Officeworks ,27,0,647,Expense,Personal,Life Admin,DR
2023-05-28,Beachside Yoga Classes ,34,0,613,Expense,Personal,Fitness & Wellbeing,DR
2023-05-28,Binge ,21,0,592,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-05-28,The Australian ,20,0,572,Expense,Personal,Education,DR
2023-06-01,Monthly Income,0,6542,7114,Income,Income,Wages,CR
2023-06-02,Ballet Schools ,367,0,6747,Expense,Personal,Fitness & Wellbeing,DR
2023-06-03,Fitness First ,631,0,6116,Expense,Personal,Fitness & Wellbeing,DR
2023-06-03,Costco ,49,0,6067,Expense,Household,Groceries,DR
2023-06-05,VicRoads ,572,0,5495,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-06-05,Palace Cinemas ,403,0,5092,Expense,Leisure & Lifestyle,Entertainment,DR
2023-06-06,Green Slip Insurance ,183,0,4909,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-06-07,Chemist Warehouse ,339,0,4570,Expense,Personal,Health & Medical,DR
2023-06-07,AustralianSuper Pension ,233,0,4337,Income,Income,Other Income,DR
2023-06-08,Officeworks ,5,0,4332,Expense,Personal,Life Admin,DR
2023-06-08,David Jones ,348,0,3984,Expense,Personal,Clothing & Accessories,DR
2023-06-13,Grill’d ,387,0,3597,Expense,Leisure & Lifestyle,Takeaway,DR
2023-06-15,Kayo Sports ,220,0,3377,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-06-15,Service NSW ,39,0,3338,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-06-17,Timezone ,96,0,3242,Expense,Leisure & Lifestyle,Entertainment,DR
2023-06-22,Campion Education ,150,0,3092,Expense,Personal,Children & Family,DR
2023-06-22,Coles Express ,75,0,3017,Expense,Transport,Fuel,DR
2023-06-23,Queensland Urban Utilities ,156,0,2861,Expense,Household,Utilities,DR
2023-06-25,Palace Cinemas ,49,0,2812,Expense,Leisure & Lifestyle,Entertainment,DR
2023-06-25,Country Road ,207,0,2605,Expense,Personal,Clothing & Accessories,DR
2023-06-27,Coles Express ,135,0,2470,Expense,Transport,Fuel,DR
2023-07-01,Monthly Income,0,6542,9012,Income,Income,Wages,CR
2023-07-03,Origin Energy ,591,0,8421,Expense,Household,Utilities,DR
2023-07-03,Kmart ,743,0,7678,Expense,Personal,Children & Family,DR
2023-07-03,Foxtel ,699,0,6979,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-07-04,Local Hospital ,11,0,6968,Expense,Personal,Health & Medical,DR
2023-07-05,Rental Deposit from RealEstate.com.au ,231,0,6737,Income,Income,Other Income,DR
2023-07-05,Guzman y Gomez ,292,0,6445,Expense,Leisure & Lifestyle,Takeaway,DR
2023-07-06,King Swim ,622,0,5823,Expense,Personal,Fitness & Wellbeing,DR
2023-07-06,Child Support Agency Deposit ,543,0,5280,Income,Income,Other Income,DR
2023-07-07,Surf Dive 'n Ski ,372,0,4908,Expense,Personal,Clothing & Accessories,DR
2023-07-08,Mathnasium ,312,0,4596,Expense,Personal,Education,DR
2023-07-08,Mathnasium ,92,0,4504,Expense,Personal,Education,DR
2023-07-08,AGL Energy ,102,0,4402,Expense,Household,Utilities,DR
2023-07-09,Tabcorp ,439,0,3963,Expense,Leisure & Lifestyle,Lottery & Gambling,DR
2023-07-10,The Rocks Bar and Pub ,44,0,3919,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-07-10,Endota Spa ,62,0,3857,Expense,Personal,Fitness & Wellbeing,DR
2023-07-11,AustralianSuper Pension ,69,0,3788,Income,Income,Other Income,DR
2023-07-11,The Espy ,273,0,3515,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-07-12,Eat Street Northshore ,284,0,3231,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-07-12,Sea Kayak Tours ,228,0,3003,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2023-07-12,Ultra Tune ,138,0,2865,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-07-14,Timezone ,100,0,2765,Expense,Leisure & Lifestyle,Entertainment,DR
2023-07-14, Jim's Mowing ,163,0,2602,Expense,Household,Maintenance & Improvements,DR
2023-07-14,Gold's Gym ,222,0,2380,Expense,Personal,Fitness & Wellbeing,DR
2023-07-14,Platypus Shoes ,199,0,2181,Expense,Personal,Clothing & Accessories,DR
2023-07-16,JB HiFi,19,0,2162,Expense,Leisure & Lifestyle,Electronics,DR
2023-07-17,Local Hospital ,157,0,2005,Expense,Personal,Health & Medical,DR
2023-07-18,BP ,136,0,1869,Expense,Transport,Fuel,DR
2023-07-18,Westpac Dividend Deposit ,150,0,1719,Income,Income,Investments,DR
2023-07-18,Foxtel ,151,0,1568,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-07-18,Officeworks ,113,0,1455,Expense,Personal,Life Admin,DR
2023-07-18,Adobe Creative Cloud ,50,0,1405,Expense,Leisure & Lifestyle,Hobbies,DR
2023-07-19,Village Cinemas ,125,0,1280,Expense,Leisure & Lifestyle,Entertainment,DR
2023-07-20,Swim Australia ,41,0,1239,Expense,Personal,Fitness & Wellbeing,DR
2023-07-20,Westpac Dividend Deposit ,81,0,1158,Income,Income,Investments,DR
2023-07-22,Audible ,48,0,1110,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-07-23,Menulog ,12,0,1098,Expense,Leisure & Lifestyle,Takeaway,DR
2023-07-23,Green Slip Insurance ,91,0,1007,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-07-23,MyCar Tyre & Auto ,54,0,953,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-07-23,Grill'd ,14,0,939,Expense,Leisure & Lifestyle,Takeaway,DR
2023-07-25,Specsavers ,86,0,853,Expense,Personal,Health & Medical,DR
2023-07-25,Specsavers ,55,0,798,Expense,Personal,Health & Medical,DR
2023-07-26,Ballet Schools ,29,0,769,Expense,Personal,Fitness & Wellbeing,DR
2023-07-26,Eat Street Northshore ,71,0,698,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-07-27,Budget Direct Car Insurance ,32,0,666,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-07-27,The Iconic ,65,0,601,Expense,Personal,Clothing & Accessories,DR
2023-07-27,Endota Spa ,13,0,588,Expense,Personal,Fitness & Wellbeing,DR
2023-07-28,Decathlon ,16,0,572,Expense,Personal,Fitness & Wellbeing,DR
2023-07-28,Boost Juice Bars ,54,0,518,Expense,Leisure & Lifestyle,Takeaway,DR
2023-07-28,Hungry Jack’s ,9,0,509,Expense,Leisure & Lifestyle,Takeaway,DR
2023-07-28,Palace Cinemas ,43,0,466,Expense,Leisure & Lifestyle,Entertainment,DR
2023-08-01,Monthly Income,0,6542,7008,Income,Income,Wages,CR
2023-08-02,The Athlete's Foot ,301,0,6707,Expense,Personal,Clothing & Accessories,DR
2023-08-03,Crown Perth ,258,0,6449,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-08-03,Zone Bowling ,559,0,5890,Expense,Leisure & Lifestyle,Entertainment,DR
2023-08-04,Harris Farm Markets ,326,0,5564,Expense,Household,Groceries,DR
2023-08-04,The Australian ,499,0,5065,Expense,Personal,Education,DR
2023-08-05,Montessori Schools ,73,0,4992,Expense,Personal,Education,DR
2023-08-06,Interest Payment from Commonwealth Bank ,78,0,4914,Income,Income,Investments,DR
2023-08-06,AGL Energy ,393,0,4521,Expense,Household,Utilities,DR
2023-08-07,BWS ,370,0,4151,Expense,Leisure & Lifestyle,Alcohol,DR
2023-08-07,Upwork Freelancer Payment ,173,0,3978,Income,Income,Other Income,DR
2023-08-07,YMCA ,9,0,3969,Expense,Personal,Fitness & Wellbeing,DR
2023-08-08,AustralianSuper Pension ,355,0,3614,Income,Income,Other Income,DR
2023-08-09,Priceline Pharmacy ,352,0,3262,Expense,Personal,Health & Medical,DR
2023-08-10,Shell V Power,65,0,3197,Expense,Transport,Fuel,DR
2023-08-10,Aqua Fun Park ,109,0,3088,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2023-08-11,Domino’s Pizza ,138,0,2950,Expense,Leisure & Lifestyle,Takeaway,DR
2023-08-11,Decathlon ,25,0,2925,Expense,Personal,Fitness & Wellbeing,DR
2023-08-12,Australian Veterinary Association ,177,0,2748,Expense,Household,Pets,DR
2023-08-12,Jetts Fitness ,231,0,2517,Expense,Personal,Fitness & Wellbeing,DR
2023-08-13,Swim Australia ,13,0,2504,Expense,Personal,Fitness & Wellbeing,DR
2023-08-14,F45 Training ,146,0,2358,Expense,Personal,Fitness & Wellbeing,DR
2023-08-14,Dan Murphy’s ,112,0,2246,Expense,Leisure & Lifestyle,Alcohol,DR
2023-08-14,Beachside Yoga Classes ,218,0,2028,Expense,Personal,Fitness & Wellbeing,DR
2023-08-15, Jim’s Building Inspections ,47,0,1981,Expense,Household,Maintenance & Improvements,DR
2023-08-15,Chemist Warehouse ,17,0,1964,Expense,Personal,Health & Medical,DR
2023-08-16,Greencross Vets ,96,0,1868,Expense,Household,Pets,DR
2023-08-17,Fernwood Fitness ,95,0,1773,Expense,Personal,Fitness & Wellbeing,DR
2023-08-17,SEQTA ,159,0,1614,Expense,Personal,Education,DR
2023-08-18,Supercheap Auto ,111,0,1503,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-08-18,BP ,73,0,1430,Expense,Transport,Fuel,DR
2023-08-19,Child Support Agency Deposit ,13,0,1417,Income,Income,Other Income,DR
2023-08-19,Health Food Store ,26,0,1391,Expense,Personal,Fitness & Wellbeing,DR
2023-08-19, BSA Ltd ,103,0,1288,Expense,Household,Maintenance & Improvements,DR
2023-08-21,Supercheap Auto ,44,0,1244,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-08-22, Brisbane City Council ,82,0,1162,Expense,Household,Rates & Insurance,DR
2023-08-22,ATO Tax Refund ,17,0,1145,Income,Income,Other Income,DR
2023-08-22,Supercheap Auto ,40,0,1105,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-08-23,Dan Murphy’s ,58,0,1047,Expense,Leisure & Lifestyle,Alcohol,DR
2023-08-23,Car Wash Cafe ,38,0,1009,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-08-23,Medicare Claim ,34,0,975,Expense,Personal,Health & Medical,DR
2023-08-24,EB Games ,45,0,930,Expense,Leisure & Lifestyle,"Apps, Games & Software",DR
2023-08-25,Lorna Jane ,94,0,836,Expense,Personal,Clothing & Accessories,DR
2023-08-26,Grill’d ,30,0,806,Expense,Leisure & Lifestyle,Takeaway,DR
2023-08-26,Beachside Yoga Classes ,27,0,779,Expense,Personal,Fitness & Wellbeing,DR
2023-08-27,Autobarn ,67,0,712,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-08-27,OfficeMax ,64,0,648,Expense,Personal,Life Admin,DR
2023-08-27,Cookie ,64,0,584,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-08-27,Foxtel ,14,0,570,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-08-28,Caltex Woolworths ,27,0,543,Expense,Transport,Fuel,DR
2023-08-28,Jetts Fitness ,11,0,532,Expense,Personal,Fitness & Wellbeing,DR
2023-08-28,Childcare Payments ,31,0,501,Expense,Personal,Children & Family,DR
2023-09-01,Monthly Income,0,6542,7043,Income,Income,Wages,CR
2023-09-02,Harvey Norman ,489,0,6554,Expense,Household,"Furniture, Electronics & Homewares",DR
2023-09-04, NRMA Insurance ,104,0,6450,Expense,Household,Rates & Insurance,DR
2023-09-04,EnergyAustralia ,11,0,6439,Expense,Household,Utilities,DR
2023-09-04,Eat Street Northshore ,517,0,5922,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-05,IKEA ,162,0,5760,Expense,Household,Maintenance & Improvements,DR
2023-09-05,Childcare Payments ,296,0,5464,Expense,Personal,Children & Family,DR
2023-09-05,City Beach ,312,0,5152,Expense,Personal,Clothing & Accessories,DR
2023-09-08,Sunnybank Hotel ,18,0,5134,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-08,JB HiFi,325,0,4809,Expense,Leisure & Lifestyle,Electronics,DR
2023-09-08,The Brisbane Hotel ,9,0,4800,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-10,Adobe Creative Cloud ,309,0,4491,Expense,Leisure & Lifestyle,Hobbies,DR
2023-09-10,Rebel Sport ,420,0,4071,Expense,Personal,Fitness & Wellbeing,DR
2023-09-11,South East Water ,359,0,3712,Expense,Household,Utilities,DR
2023-09-12,Disney+ ,191,0,3521,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-09-12,Pathology Lab ,274,0,3247,Expense,Personal,Health & Medical,DR
2023-09-13,Physiotherapy Clinic ,125,0,3122,Expense,Personal,Health & Medical,DR
2023-09-13,Netflix ,285,0,2837,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-09-14,Disney+ ,96,0,2741,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-09-15,KU Children's Services ,105,0,2636,Expense,Personal,Children & Family,DR
2023-09-15,Interest Payment from Commonwealth Bank ,52,0,2584,Income,Income,Investments,DR
2023-09-16,Guzman y Gomez ,203,0,2381,Expense,Leisure & Lifestyle,Takeaway,DR
2023-09-16,Pizza Hut ,141,0,2240,Expense,Leisure & Lifestyle,Takeaway,DR
2023-09-16,Rooftop Bar ,139,0,2101,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-16,Beachside Caravan Park ,166,0,1935,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2023-09-17,Toys 'R' Us ,83,0,1852,Expense,Personal,CHildren & Family,DR
2023-09-18,Sunnybank Hotel ,70,0,1782,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-19,Bulk Billing Doctor ,51,0,1731,Expense,Personal,Health & Medical,DR
2023-09-19,BWS ,67,0,1664,Expense,Leisure & Lifestyle,Alcohol,DR
2023-09-21,QBE Insurance Claim Payout ,20,0,1644,Income,Income,Other Income,DR
2023-09-21,Dymocks ,111,0,1533,Expense,Leisure & Lifestyle,Hobbies,DR
2023-09-22,Pathology Lab ,37,0,1496,Expense,Personal,Health & Medical,DR
2023-09-22,Café Nero ,77,0,1419,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2023-09-22,Barbeques Galore ,106,0,1313,Expense,Household,"Furniture, Electronics & Homewares",DR
2023-09-23,Shell V Power,75,0,1238,Expense,Transport,Fuel,DR
2023-09-24,ATO Tax Refund ,16,0,1222,Income,Income,Other Income,DR
2023-09-25,The Body Shop ,103,0,1119,Expense,Personal,Hair & Beauty,DR
2023-09-26,Eat Street Northshore ,50,0,1069,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-09-27,Petbarn ,45,0,1024,Expense,Household,Pets,DR
2023-09-27,Payday Advance ,58,0,966,Income,Income,Other Income,DR
2023-09-27,TerryWhite Chemmart ,26,0,940,Expense,Personal,Health & Medical,DR
2023-09-28,G8 Education ,88,0,852,Expense,Personal,Children & Family,DR
2023-10-01,Monthly Income,0,6542,7394,Income,Income,Wages,CR
2023-10-02,Country Road ,245,0,7149,Expense,Personal,Clothing & Accessories,DR
2023-10-02,Budget Direct Car Insurance ,73,0,7076,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-10-03,Café Nero ,674,0,6402,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2023-10-04,Event Cinemas ,245,0,6157,Expense,Leisure & Lifestyle,Entertainment,DR
2023-10-05,Dymocks ,332,0,5825,Expense,Leisure & Lifestyle,Hobbies,DR
2023-10-05,Binge ,156,0,5669,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2023-10-08,City Beach ,452,0,5217,Expense,Personal,Clothing & Accessories,DR
2023-10-08,Autobarn ,465,0,4752,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2023-10-09,BrewDog ,186,0,4566,Expense,Leisure & Lifestyle,Alcohol,DR
2023-10-10,Interest Payment from Commonwealth Bank ,159,0,4407,Income,Income,Investments,DR
2023-10-12,Acupuncture Clinic ,192,0,4215,Expense,Personal,Health & Medical,DR
2023-10-14,Medicare Claim ,312,0,3903,Expense,Personal,Health & Medical,DR
2023-10-15,The Sydney Morning Herald ,324,0,3579,Expense,Personal,Education,DR
2023-10-16,South East Water ,144,0,3435,Expense,Household,Utilities,DR
2023-10-18, EnergyAustralia ,208,0,3227,Expense,Household,Utilities,DR
2023-10-18,Harris Farm Markets ,16,0,3211,Expense,Household,Groceries,DR
2023-10-19,eBay Sales Proceeds ,174,0,3037,Income,Income,Other Income,DR
2023-10-21,Woolworths ,267,0,2770,Expense,Household,Groceries,DR
2023-10-21,Guardian Childcare & Education ,247,0,2523,Expense,Personal,Children & Family,DR
2023-10-21,Timezone ,47,0,2476,Expense,Leisure & Lifestyle,Entertainment,DR
2023-10-22,Rooftop Bar ,97,0,2379,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2023-10-22,Microsoft 365 ,33,0,2346,Expense,Personal,Education,DR
2023-10-22, Brisbane City Council ,188,0,2158,Expense,Household,Rates & Insurance,DR
2023-10-23, Jim’s Building Inspections ,50,0,2108,Expense,Household,Maintenance & Improvements,DR
2023-10-23,The Iconic ,42,0,2066,Expense,Personal,Clothing & Accessories,DR
2023-10-25,Grill’d ,57,0,2009,Expense,Leisure & Lifestyle,Takeaway,DR
2023-10-26,Rental Deposit from RealEstate.com.au ,43,0,1966,Income,Income,Other Income,DR
2023-10-27,Freedom Furniture ,57,0,1909,Expense,Household,Maintenance & Improvements,DR
2023-10-28,Melbourne Central Lion Hotel ,77,0,1832,Expense,Leisure & Lifestyle,Pubs & Bars,DR
