features_rating,security_rating,recommend_rating,features_valuable,competitors_do_well,similarities,sentiment
1,4,3,Security Features,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",neutral
5,3,4,Transaction Management,Cras non velit nec nisi vulputate nonummy.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",positive
5,5,4,Transaction Management,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,Nulla mollis molestie lorem. Quisque ut erat.,negative
1,3,4,Transaction Management,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,neutral
3,4,2,Transaction Management,Ut at dolor quis odio consequat varius.,Morbi vel lectus in quam fringilla rhoncus.,negative
3,2,5,Transaction Management,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.","Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",positive
5,1,1,Security Features,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",negative
4,2,3,Transaction Management,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",negative
3,5,3,Security Features,Proin at turpis a pede posuere nonummy. Integer non velit.,Sed ante.,positive
5,5,1,Transaction Management,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Praesent id massa id nisl venenatis lacinia.,neutral
2,3,4,Ease of Use,Nunc rhoncus dui vel sem. Sed sagittis.,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",positive
3,2,4,Transaction Management,Integer tincidunt ante vel ipsum.,Duis at velit eu est congue elementum.,negative
1,4,2,Security Features,Nulla justo.,Nulla ut erat id mauris vulputate elementum. Nullam varius.,positive
2,4,2,Transaction Management,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",positive
3,5,3,Security Features,Nullam sit amet turpis elementum ligula vehicula consequat.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",neutral
1,4,4,Security Features,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,positive
4,5,1,Security Features,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Pellentesque eget nunc.,neutral
2,2,2,Security Features,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",neutral
4,2,3,Ease of Use,Mauris sit amet eros.,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,positive
4,2,5,Security Features,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",neutral
3,3,2,Transaction Management,Duis bibendum. Morbi non quam nec dui luctus rutrum.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",neutral
1,3,2,Ease of Use,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,Morbi porttitor lorem id ligula.,negative
3,4,3,Transaction Management,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",positive
3,3,5,Security Features,Vestibulum rutrum rutrum neque.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,negative
1,5,4,Transaction Management,In hac habitasse platea dictumst.,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,neutral
2,1,3,Transaction Management,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Nullam molestie nibh in lectus.,negative
4,4,2,Security Features,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",In blandit ultrices enim.,positive
3,2,3,Transaction Management,Nunc purus.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",neutral
1,1,4,Security Features,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",neutral
5,1,1,Transaction Management,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,In quis justo.,neutral
1,4,2,Transaction Management,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",positive
4,2,5,Transaction Management,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Morbi non quam nec dui luctus rutrum. Nulla tellus.,positive
1,2,2,Security Features,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Aenean fermentum.,negative
5,4,5,Transaction Management,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",In congue. Etiam justo.,neutral
2,4,2,Transaction Management,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",positive
2,3,5,Security Features,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,positive
5,3,5,Ease of Use,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",Etiam faucibus cursus urna. Ut tellus.,neutral
5,4,1,Security Features,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,Etiam justo. Etiam pretium iaculis justo.,positive
3,1,2,Ease of Use,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,neutral
4,2,5,Transaction Management,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.","Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",negative
4,1,1,Ease of Use,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",positive
5,5,3,Ease of Use,Phasellus in felis.,Aenean sit amet justo.,neutral
1,2,4,Security Features,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Praesent id massa id nisl venenatis lacinia.,negative
4,5,3,Transaction Management,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,negative
3,1,1,Ease of Use,Fusce posuere felis sed lacus.,Suspendisse ornare consequat lectus.,neutral
3,4,1,Ease of Use,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,positive
5,2,3,Ease of Use,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,In congue. Etiam justo. Etiam pretium iaculis justo.,negative
3,3,4,Ease of Use,Nulla suscipit ligula in lacus.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,positive
1,3,1,Transaction Management,Morbi a ipsum.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",negative
3,2,3,Transaction Management,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",positive
3,1,3,Ease of Use,Duis aliquam convallis nunc.,Etiam pretium iaculis justo.,neutral
4,3,2,Security Features,Nullam varius. Nulla facilisi.,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,negative
1,4,3,Ease of Use,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",positive
2,1,3,Ease of Use,Sed accumsan felis. Ut at dolor quis odio consequat varius.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",neutral
3,1,1,Transaction Management,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",negative
3,2,4,Ease of Use,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",positive
4,3,4,Transaction Management,Pellentesque at nulla.,In eleifend quam a odio.,positive
4,4,1,Transaction Management,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,neutral
4,1,2,Transaction Management,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",neutral
5,1,2,Transaction Management,Mauris sit amet eros.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,neutral
2,2,4,Ease of Use,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,neutral
1,5,5,Security Features,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",positive
5,3,5,Security Features,Etiam faucibus cursus urna.,Fusce consequat. Nulla nisl. Nunc nisl.,positive
1,4,1,Ease of Use,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",neutral
3,4,5,Ease of Use,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,In sagittis dui vel nisl.,negative
5,2,2,Security Features,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,positive
5,2,4,Ease of Use,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",positive
4,2,2,Ease of Use,In congue. Etiam justo.,Donec semper sapien a libero.,neutral
2,1,3,Security Features,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,positive
1,3,2,Ease of Use,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Aenean sit amet justo.,positive
5,5,2,Transaction Management,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,negative
5,3,3,Transaction Management,Phasellus sit amet erat.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",negative
3,2,3,Transaction Management,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Aliquam non mauris.,negative
3,3,1,Transaction Management,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Nulla nisl.,neutral
1,3,5,Transaction Management,Suspendisse potenti. In eleifend quam a odio.,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",positive
5,3,1,Ease of Use,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Aliquam non mauris.,negative
5,5,2,Transaction Management,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Nunc purus.,positive
2,2,4,Security Features,Pellentesque viverra pede ac diam.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",negative
4,1,4,Security Features,Donec vitae nisi.,Maecenas rhoncus aliquam lacus.,neutral
5,5,3,Security Features,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Donec semper sapien a libero.,neutral
1,2,5,Ease of Use,Nulla mollis molestie lorem.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",positive
1,2,2,Transaction Management,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",neutral
3,1,2,Security Features,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,Nunc nisl.,neutral
2,1,5,Transaction Management,Vestibulum rutrum rutrum neque.,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,negative
3,5,3,Ease of Use,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",negative
3,1,3,Transaction Management,Nulla ut erat id mauris vulputate elementum. Nullam varius.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,positive
1,1,5,Security Features,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,Ut tellus.,neutral
5,4,3,Ease of Use,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Curabitur at ipsum ac tellus semper interdum.,positive
5,2,1,Ease of Use,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",negative
5,5,5,Security Features,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",neutral
4,2,2,Security Features,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",neutral
3,5,5,Ease of Use,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",positive
1,4,1,Security Features,Integer ac leo. Pellentesque ultrices mattis odio.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",negative
1,1,4,Ease of Use,Morbi quis tortor id nulla ultrices aliquet.,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",positive
4,4,5,Security Features,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",neutral
5,5,2,Ease of Use,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,Nullam sit amet turpis elementum ligula vehicula consequat.,negative
4,3,5,Ease of Use,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,negative
3,4,1,Ease of Use,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Donec posuere metus vitae ipsum. Aliquam non mauris.,positive
5,2,4,Transaction Management,Suspendisse potenti. In eleifend quam a odio.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",positive
1,2,5,Ease of Use,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Phasellus sit amet erat. Nulla tempus.,neutral
4,4,3,Ease of Use,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Aliquam non mauris.,neutral
3,1,4,Ease of Use,Maecenas rhoncus aliquam lacus.,Vivamus tortor. Duis mattis egestas metus.,neutral
1,5,4,Ease of Use,Suspendisse potenti.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",negative
5,5,2,Transaction Management,Proin interdum mauris non ligula pellentesque ultrices.,Vestibulum rutrum rutrum neque.,neutral
5,1,2,Security Features,Proin interdum mauris non ligula pellentesque ultrices.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",neutral
2,4,3,Ease of Use,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",positive
5,3,4,Transaction Management,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",negative
4,4,2,Security Features,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Nulla tellus.,positive
